years_since_founded,funding_rounds,funding_total_usd,milestones,has_invested_other_companies,description,last_raised_amount_usd,last_funding_participants_cnt,category_code,last_funding_round_type,is_ipo_or_acquired
11.0,1,,2.0,0,BlackLine CEO Named 'Business Woman of the Decade' by San Fernando Valley Business Journal,,2,software,venture,0
6.0,9,60200000.0,3.0,0,"Search Underdog Blekko Sees Over 30M Searches In January, More Than 110K Slashtags Created Since Launch Blekko Bans 1.1 Million Spammy Domains Via New Algorithm Yandex acquires 10% stake in Blekko.com",2000000.0,6,search,series-a,1
1.0,1,1325000.0,,0,nan,1325000.0,0,web,angel,0
3.0,1,1500000.0,,0,nan,1500000.0,0,software,series-a,0
8.0,3,15500000.0,3.0,0,BlogHer enters Partnership with iVillage,3500000.0,1,web,series-a,1
2.0,4,4770000.0,2.0,0,nan,250000.0,5,mobile,angel,0
3.0,1,1650000.0,2.0,0,nan,1650000.0,5,ecommerce,series-a,0
0.0,2,,2.0,0,nan,,1,ecommerce,angel,0
2.0,1,40000.0,,0,nan,40000.0,4,software,angel,0
10.0,1,20000000.0,1.0,0,nan,20000000.0,2,ecommerce,venture,0
7.0,1,7692500.0,,0,nan,7692500.0,0,mobile,private-equity,0
5.0,1,2000000.0,1.0,0,nan,2000000.0,1,web,series-a,0
1.0,1,1000000.0,,0,nan,1000000.0,0,software,angel,0
1.0,1,9500000.0,1.0,0,nan,9500000.0,4,security,venture,0
7.0,1,650000.0,2.0,1,BlueChilli seeks investors and startups for new $10m fund,650000.0,0,software,angel,0
1.0,2,19000000.0,,0,nan,4000000.0,1,analytics,series-a,0
3.0,1,1700000.0,2.0,0,BluePoint Security Launches AdTrap,1700000.0,1,security,series-a,0
0.0,1,10000000.0,2.0,0,nan,10000000.0,1,software,series-a,1
4.0,4,17040690.0,2.0,0,nan,10640690.0,5,mobile,series-a,0
2.0,1,800000.0,2.0,0,nan,800000.0,0,software,angel,0
5.0,1,,,0,nan,,1,web,series-a,0
